                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.48599,                0.45852,                 0.8716,                0.89861,                0.85214,                0.92952,                0.84538,                0.42264,                0.44086,                0.86022,              0.0010894,              0.0010894,              0.0010894
                     37,                0.49132,                0.45545,                0.87782,                0.87453,                0.86909,                0.92382,                0.84105,                0.42528,                0.44919,                0.86035,              0.0010729,              0.0010729,              0.0010729
                     38,                0.48553,                 0.4577,                0.87353,                0.89158,                0.83977,                0.92121,                0.83736,                 0.4317,                0.44779,                0.86377,              0.0010564,              0.0010564,              0.0010564
                     39,                0.48062,                0.44541,                0.87184,                0.88874,                0.85461,                0.92331,                0.83835,                0.42355,                 0.4428,                0.86278,              0.0010399,              0.0010399,              0.0010399
                     40,                0.48212,                0.44701,                0.87187,                0.89763,                0.85937,                0.92516,                0.84317,                0.41681,                0.43234,                0.85676,              0.0010234,              0.0010234,              0.0010234
                     41,                 0.4771,                0.43416,                0.86997,                0.87908,                0.86359,                0.92039,                0.83597,                0.42225,                0.44562,                0.85783,              0.0010069,              0.0010069,              0.0010069
                     42,                0.48266,                0.43346,                0.87387,                0.88491,                0.86703,                0.92243,                0.83719,                0.42898,                0.44654,                0.86804,             0.00099036,             0.00099036,             0.00099036
                     43,                0.47684,                0.42933,                0.86794,                0.87821,                0.86709,                0.92536,                0.84387,                0.41753,                0.44498,                0.86271,             0.00097386,             0.00097386,             0.00097386
                     44,                0.47569,                0.42949,                 0.8702,                0.89137,                0.87446,                0.93679,                0.85576,                0.41459,                0.41071,                0.85667,             0.00095736,             0.00095736,             0.00095736
                     45,                0.47419,                0.42375,                0.86874,                0.89923,                0.85345,                0.93076,                0.85247,                0.40618,                0.42619,                0.85601,             0.00094085,             0.00094085,             0.00094085
                     46,                0.46967,                0.41483,                0.86923,                0.88393,                0.87716,                0.93361,                0.85341,                0.41235,                0.43926,                0.84993,             0.00092435,             0.00092435,             0.00092435
                     47,                0.47152,                0.41783,                0.86819,                0.90966,                0.86896,                 0.9336,                0.85454,                0.41174,                0.41078,                0.85381,             0.00090785,             0.00090785,             0.00090785
                     48,                0.46717,                0.40703,                0.86466,                0.91248,                0.84864,                0.93107,                0.85369,                0.40632,                  0.422,                  0.856,             0.00089134,             0.00089134,             0.00089134
                     49,                0.46646,                0.40246,                0.86604,                0.88614,                0.87715,                0.92954,                0.84845,                0.41563,                0.43262,                0.85403,             0.00087484,             0.00087484,             0.00087484
                     50,                0.46782,                0.40345,                0.86792,                0.90096,                0.86178,                0.92723,                0.85302,                0.40555,                0.42823,                0.85448,             0.00085834,             0.00085834,             0.00085834
                     51,                 0.4641,                0.40247,                0.86492,                0.90351,                0.86726,                0.92812,                 0.8503,                 0.4177,                0.43027,                0.85918,             0.00084184,             0.00084184,             0.00084184
                     52,                0.46245,                0.39849,                0.86622,                0.89258,                0.87359,                0.92658,                0.85143,                0.41003,                0.43091,                0.85709,             0.00082533,             0.00082533,             0.00082533
                     53,                0.46208,                0.39642,                0.86464,                0.88432,                0.88016,                0.93045,                0.85009,                0.40828,                0.42071,                0.85747,             0.00080883,             0.00080883,             0.00080883
                     54,                0.46065,                0.38744,                0.86272,                0.90873,                0.87277,                0.92977,                0.85478,                0.40738,                0.42357,                0.86062,             0.00079233,             0.00079233,             0.00079233
                     55,                0.45724,                0.39087,                 0.8601,                0.89725,                0.87154,                0.92856,                 0.8524,                0.40938,                0.42592,                 0.8544,             0.00077582,             0.00077582,             0.00077582
