                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  0.713,                 1.5432,                0.97439,                0.75532,                0.76459,                0.80946,                0.70881,                0.53125,                 1.0426,                0.88642,              0.0033281,              0.0033281,              0.0033281
                      2,                0.66977,                0.97307,                0.93649,                0.78429,                0.76857,                0.83074,                0.73785,                0.49672,                0.82747,                0.88217,              0.0065955,              0.0065955,              0.0065955
                      3,                0.70119,                0.87698,                0.95428,                0.75244,                0.68784,                0.74556,                0.62526,                0.62919,                0.99018,                0.96684,              0.0097969,              0.0097969,              0.0097969
                      4,                0.70679,                 0.8166,                0.96239,                0.80227,                0.77609,                0.84613,                0.74874,                0.51899,                0.71289,                0.90961,               0.009703,               0.009703,               0.009703
                      5,                0.67924,                0.74887,                0.95127,                0.80026,                0.75592,                0.84503,                0.75345,                0.50696,                0.70714,                0.90369,               0.009604,               0.009604,               0.009604
                      6,                0.65398,                0.70262,                0.94282,                0.77601,                 0.7823,                0.84977,                0.75114,                 0.5091,                0.80863,                0.91426,               0.009505,               0.009505,               0.009505
                      7,                0.63944,                0.67619,                0.93371,                0.78811,                0.75253,                0.82606,                0.72397,                   0.54,                0.78863,                0.92026,               0.009406,               0.009406,               0.009406
                      8,                0.62073,                0.64379,                0.92679,                0.77797,                0.74652,                0.83559,                0.74838,                0.48151,                0.70909,                0.89245,               0.009307,               0.009307,               0.009307
                      9,                0.61391,                0.62872,                0.92496,                0.81446,                0.78639,                0.86295,                0.77244,                0.48171,                0.64007,                0.89346,               0.009208,               0.009208,               0.009208
                     10,                0.60433,                0.61383,                0.92042,                0.81888,                0.79722,                0.87243,                0.79025,                0.45942,                 0.6326,                0.88097,               0.009109,               0.009109,               0.009109
                     11,                0.59655,                0.59443,                0.91808,                0.82074,                0.79582,                0.86859,                0.78449,                0.46372,                0.64019,                0.88507,                0.00901,                0.00901,                0.00901
                     12,                0.58895,                0.58228,                0.91454,                0.81989,                0.77886,                 0.8584,                0.77099,                0.47933,                 0.6514,                 0.8935,               0.008911,               0.008911,               0.008911
                     13,                0.58192,                0.57056,                0.90942,                0.81742,                0.80795,                0.86986,                0.79096,                0.44755,                0.63089,                0.87844,               0.008812,               0.008812,               0.008812
                     14,                0.57152,                0.55929,                0.90642,                0.82306,                0.80128,                0.87735,                0.79099,                 0.4609,                0.62885,                 0.8835,               0.008713,               0.008713,               0.008713
                     15,                0.57466,                0.55149,                0.90645,                0.82475,                0.81366,                0.88143,                0.80127,                0.44837,                0.59947,                0.87038,               0.008614,               0.008614,               0.008614
                     16,                0.56754,                 0.5385,                0.90406,                0.81571,                0.80195,                0.87212,                 0.7922,                 0.4571,                0.64114,                0.88243,               0.008515,               0.008515,               0.008515
                     17,                0.56309,                0.53175,                0.90532,                0.82934,                0.80345,                0.87494,                0.79851,                0.43701,                0.60195,                0.87161,               0.008416,               0.008416,               0.008416
                     18,                0.55869,                0.52171,                0.90174,                0.81057,                0.81478,                0.88242,                0.80638,                0.42488,                0.63259,                 0.8625,               0.008317,               0.008317,               0.008317
                     19,                0.55553,                0.51656,                0.89971,                0.81189,                0.81132,                0.86947,                0.79244,                0.43807,                0.60529,                 0.8728,               0.008218,               0.008218,               0.008218
                     20,                0.54786,                0.50105,                    0.9,                0.81648,                0.80015,                0.87129,                0.79864,                0.43149,                0.62323,                 0.8695,               0.008119,               0.008119,               0.008119
                     21,                0.54527,                0.49693,                0.89534,                0.82231,                0.81636,                0.88158,                0.80622,                0.42449,                0.61239,                 0.8679,                0.00802,                0.00802,                0.00802
                     22,                0.54453,                0.49118,                0.89376,                0.80357,                0.84084,                0.88189,                0.80733,                0.42361,                0.62116,                0.86561,               0.007921,               0.007921,               0.007921
                     23,                0.53743,                0.48093,                0.89158,                0.83161,                0.79459,                0.87701,                0.80308,                0.43558,                0.62027,                0.86988,               0.007822,               0.007822,               0.007822
                     24,                0.53512,                0.47676,                0.89164,                0.81815,                0.81516,                0.87382,                0.79862,                0.42314,                0.61957,                0.86609,               0.007723,               0.007723,               0.007723
                     25,                0.52922,                0.46928,                0.89013,                0.82235,                0.82047,                0.88071,                0.80526,                0.43128,                0.58393,                0.87312,               0.007624,               0.007624,               0.007624
                     26,                0.52882,                0.46818,                0.88841,                 0.8268,                0.81638,                0.87649,                0.80339,                0.42369,                0.59529,                0.86432,               0.007525,               0.007525,               0.007525
                     27,                 0.5291,                0.46233,                0.88681,                0.81976,                0.82263,                0.87484,                0.80404,                 0.4222,                0.58862,                0.86535,               0.007426,               0.007426,               0.007426
                     28,                0.52646,                0.45549,                0.88687,                0.79808,                0.83174,                0.87708,                0.80421,                  0.418,                0.59778,                0.86209,               0.007327,               0.007327,               0.007327
                     29,                0.52339,                0.44899,                0.88503,                0.82547,                0.80596,                0.86909,                0.79937,                0.42335,                0.62806,                0.86765,               0.007228,               0.007228,               0.007228
                     30,                0.51668,                0.44217,                0.88211,                0.80946,                0.83373,                0.88102,                0.80988,                0.41767,                0.60874,                0.86292,               0.007129,               0.007129,               0.007129
                     31,                0.51868,                0.44281,                0.88328,                0.83116,                0.81693,                0.87415,                0.80698,                0.40661,                0.58586,                0.85801,                0.00703,                0.00703,                0.00703
                     32,                0.51361,                0.43281,                0.88007,                 0.8243,                0.82695,                0.87829,                0.81125,                0.40393,                0.59242,                0.85467,               0.006931,               0.006931,               0.006931
                     33,                 0.5111,                0.43005,                0.88201,                0.84196,                 0.8152,                0.88048,                0.81257,                0.41151,                 0.5861,                0.86117,               0.006832,               0.006832,               0.006832
                     34,                 0.5119,                0.42819,                0.87954,                0.83265,                 0.8244,                0.88492,                0.81787,                0.40711,                0.58177,                0.86203,               0.006733,               0.006733,               0.006733
                     35,                0.50635,                  0.421,                0.87724,                0.84304,                0.82623,                0.88598,                0.81823,                0.40827,                0.56051,                0.86259,               0.006634,               0.006634,               0.006634
                     36,                0.50403,                0.41907,                0.87707,                0.83632,                0.81787,                0.87906,                0.81239,                0.40836,                0.58439,                0.86075,               0.006535,               0.006535,               0.006535
                     37,                0.50421,                0.41528,                0.87637,                0.81955,                0.82665,                0.86733,                0.79914,                0.41542,                0.62275,                0.86424,               0.006436,               0.006436,               0.006436
                     38,                0.49957,                0.40843,                0.87438,                0.84497,                0.82753,                0.88617,                  0.819,                0.40509,                0.56296,                0.85631,               0.006337,               0.006337,               0.006337
                     39,                0.49889,                0.40421,                0.87297,                 0.8303,                 0.8302,                 0.8794,                 0.8103,                0.41341,                0.58451,                0.86063,               0.006238,               0.006238,               0.006238
                     40,                0.49813,                0.40119,                0.87267,                0.84887,                0.81106,                0.88007,                0.81188,                0.40484,                0.57945,                 0.8556,               0.006139,               0.006139,               0.006139
                     41,                0.49473,                0.39727,                 0.8724,                0.84136,                0.81475,                0.87814,                0.81537,                0.39855,                 0.5904,                0.85734,                0.00604,                0.00604,                0.00604
                     42,                0.49346,                0.39213,                0.87195,                0.83929,                0.80827,                0.87632,                0.80979,                0.40849,                0.59325,                0.85768,               0.005941,               0.005941,               0.005941
                     43,                0.49298,                0.39621,                0.87007,                0.83621,                0.81301,                0.86906,                0.80004,                0.40819,                0.59608,                0.85557,               0.005842,               0.005842,               0.005842
                     44,                0.48762,                0.38453,                0.86833,                0.83473,                0.83074,                0.88004,                 0.8138,                  0.403,                0.57292,                0.85616,               0.005743,               0.005743,               0.005743
                     45,                0.48645,                0.38671,                0.86714,                0.83763,                0.81394,                0.86794,                0.80284,                0.40234,                 0.5891,                0.84779,               0.005644,               0.005644,               0.005644
                     46,                 0.4882,                0.38328,                0.86845,                0.83319,                  0.838,                0.87984,                0.81766,                0.39284,                0.57067,                0.84344,               0.005545,               0.005545,               0.005545
